NAME	StromalScore	ImmuneScore	ESTIMATEScore
ME12221P0	-896.6927737	-67.30011691	-963.9928906
ME14017P1	-773.3266839	-887.397148	-1660.723832
LU9331P3	-964.8722358	-158.7621387	-1123.634375
LU5149P1	-1468.925322	-748.0252785	-2216.9506
ME12164P5	-1205.164483	-883.7650013	-2088.929484
OV15612P0	-1424.728828	-1271.346712	-2696.075539
ES3867P4	-1644.659317	-974.8251662	-2619.484483
ME12084P1	-1826.777733	-1072.154084	-2898.931817
GA6815P8	-619.0908367	-389.5451022	-1008.635939
SA3849P5	-202.7354731	-195.2343612	-397.9698342
OV5390P0	-1035.106521	-929.6371622	-1964.743683
CR3279P3	-454.6745936	82.29605699	-372.3785366
ES10084P0	540.3288211	690.1388468	1230.467668
CV1802P2	-1350.752588	89.76976533	-1260.982823
MU12764P0	40.86881709	-832.4812298	-791.6124127
LI0801P5	-312.8525731	657.0898121	344.237239
HN2576P14	-846.8121262	-359.0440382	-1205.856164
LU6914P7	-1366.813699	-924.1436438	-2290.957343
ES0189P5	-711.1241426	299.8528042	-411.2713384
ME12151P3	-1031.962622	-331.097054	-1363.059676
CR3151P4	-885.4769267	-194.4779472	-1079.954874
OV14972P1	28.54638176	95.88474634	124.4311281
SA4134P1	-1218.184448	-1324.499928	-2542.684376
CC6279P6	-693.2399849	-54.85853916	-748.0985241
ME14014P0	-455.1436728	-164.996491	-620.1401639
CR5066P1	-1170.277543	-527.0630317	-1697.340575
CR1520P3	-1286.834112	-768.0152394	-2054.849352
LU6412P6	-1454.601959	-663.2820402	-2117.883999
PA1194P5	-1074.013137	-143.1912243	-1217.204361
CR11374P3	-1297.267249	-926.2420963	-2223.509345
LU11564P0	-969.5626969	-295.6984087	-1265.261106
LU6416P4	-827.9804725	-640.9409851	-1468.921458
KI9316P3	-1035.543841	-240.4007009	-1275.944542
ME9389P2	-710.7930686	77.35563167	-633.4374369
BN2338P4	-1515.545128	-1315.894891	-2831.440019
LU13944P0	223.4623792	1048.415855	1271.878234
ES11072P0	539.3368995	265.9400873	805.2769868
LU5243P1	-436.176729	-675.711511	-1111.88824
PA1383P4	-625.2286721	-79.23204754	-704.4607196
SA12063P1	-1174.402923	-606.6379519	-1781.040875
ME12155P0	-938.065951	-667.2076306	-1605.273582
ME11972P1	-1573.480152	-811.7815469	-2385.261699
LI6650P8	-1661.951273	-997.1662355	-2659.117509
HN3412P7	-491.4087175	-550.7335843	-1042.142302
CR1564P11	-1320.520137	-197.3859086	-1517.906045
ME12006P0	-1636.441124	-880.7009767	-2517.1421
LY2345P3	-125.6360335	2747.079336	2621.443303
CR14838P1	-1498.695595	-673.6001242	-2172.295719
CR1245P3	-1891.197029	-686.441526	-2577.638555
CR5100P0	176.9024252	551.6041728	728.506598
SA13375P0	501.7338709	148.548419	650.2822898
CR5087P1	-1028.100494	-466.8333562	-1494.93385
BN2276P4	-1271.656954	-891.8700555	-2163.52701
CR5061P1	-1056.742647	-437.4377486	-1494.180395
ME14008P1	-969.2397401	-864.4923691	-1833.732109
ME12146P0	-1817.95808	-957.2399042	-2775.197984
ME12142P1	-1290.046683	-791.1967788	-2081.243461
GL11321P2	-894.1979241	755.0416542	-139.15627
BN2289P5	-1928.414806	-1287.360397	-3215.775203
SA10199P0	453.9935426	466.6567549	920.6502975
HN5116P0	-122.4504785	142.0740971	19.62361865
CR0150P5	-588.9252186	-184.1033316	-773.0285502
ME14007P0	-1077.130673	-598.485196	-1675.615869
LI6708P3	-1306.456031	-491.8787777	-1798.334808
CR2556P8	-1595.311943	-814.1497937	-2409.461736
LU6441P3	543.8311135	3278.186364	3822.017477
CV2320P5	-989.9699966	-703.9542525	-1693.924249
CR6851P7	-1688.145666	-614.8751435	-2303.02081
CR6268P8	-686.494754	-340.2952669	-1026.790021
GA6275P5	-387.3267037	388.1581535	0.831449791
LU5210P3	-2116.995048	-1712.361098	-3829.356147
PA6264P5	-356.7659435	204.8505192	-151.9154244
OV6308P8	-963.475092	389.5156345	-573.9594574
PA6247P7	-439.0928181	-258.0008153	-697.0936334
LY3071P3	368.459262	2999.836651	3368.295913
LI6611P9	-1070.142697	-214.9185746	-1285.061271
ME11987P0	-685.6463267	-211.1178018	-896.7641285
GA6883P10	-120.5558327	268.6181532	148.0623205
CR6287P3	337.4634285	979.8102544	1317.273683
ME12094P0	-1029.346731	-1559.575997	-2588.922728
CR6221P5	-500.3345409	120.2634148	-380.0711261
SA10242P0	415.8754113	90.79270884	506.6681202
OV5309P1	-1831.848899	-1497.112033	-3328.960932
ME9384P3	-957.8085459	-329.951764	-1287.76031
LI6659P5	-1992.640794	-1287.044271	-3279.685065
ME12147P0	-1514.50837	-1093.101134	-2607.609505
LU11595P0	557.837512	964.0991344	1521.936646
PA9453P4	-582.8233451	-261.4620222	-844.2853673
CR2516P3	-1743.412972	-754.8214651	-2498.234437
OV5287P1	-501.712199	-21.97441153	-523.6866105
LI6691P6	200.6178249	724.4044818	925.0223067
LU5197P5	-1669.374574	-1015.512987	-2684.887561
LU5193P1	-129.6955512	116.6927236	-13.00282758
LU5208P1	-745.2115111	371.6175039	-373.5940072
CR6927P5	-474.3051412	1424.526006	950.2208647
BN5459P0	304.0658743	-275.2321983	28.83367602
ES16021P1	-1598.188043	-1223.015308	-2821.203351
PA1178P6	60.83277645	1397.258695	1458.091471
CR14927P3	-1361.526624	-630.1103427	-1991.636967
HN1420P5	-1711.04613	-524.4674718	-2235.513602
HN3067P5	-1275.721942	-552.5811723	-1828.303115
ME12148P1	-1511.921063	-1094.917914	-2606.838977
LU5269P4	-2046.271634	-1377.591572	-3423.863206
CC6638P7	-537.6834401	-119.6631112	-657.3465514
ME1154P5	-1561.905142	-487.0216245	-2048.926766
ES3904P1	-294.3555827	170.8924666	-123.4631162
